Date,GS,JPM,MSFT
2024-03-06,373.4253845214844,180.64662170410156,396.01177978515625
2024-03-07,372.3326110839844,179.0644073486328,402.9551696777344
2024-03-08,370.9522705078125,179.39801025390625,400.07928466796875
2024-03-11,370.15667724609375,179.4647216796875,398.40496826171875
2024-03-12,372.0929870605469,180.94207763671875,409.0023193359375
2024-03-13,376.05181884765625,182.409912109375,408.8251037597656
2024-03-14,372.505126953125,179.15972900390625,418.7921142578125
2024-03-15,371.16314697265625,181.3805389404297,410.1251220703125
2024-03-18,368.4408874511719,183.6299285888672,411.0115051269531
2024-03-19,372.5531005859375,184.70693969726562,415.0396728515625
2024-03-20,380.03936767578125,187.1278839111328,418.80194091796875
2024-03-21,396.5649719238281,189.7299346923828,422.87933349609375
2024-03-22,389.96051025390625,187.40431213378906,422.2588806152344
2024-03-25,388.15838623046875,185.68869018554688,416.4677429199219
2024-03-26,389.34698486328125,186.55599975585938,415.2760314941406
2024-03-27,398.0411682128906,190.1683807373047,415.0593566894531
2024-03-28,400.3799743652344,190.9117889404297,414.360107421875
2024-04-01,396.3732604980469,189.61558532714844,418.1518859863281
2024-04-02,393.1524353027344,189.53932189941406,415.0692443847656
2024-04-03,396.8429260253906,189.0055389404297,414.09417724609375
2024-04-04,389.41412353515625,187.56753540039062,411.5630187988281
2024-04-05,391.15869140625,189.2931671142578,419.0874938964844
2024-04-08,393.5263366699219,190.2805938720703,418.171630859375
2024-04-09,393.6893005371094,189.00555419921875,419.8360900878906
2024-04-10,384.151611328125,187.39495849609375,416.8617858886719
2024-04-11,381.007568359375,187.35659790039062,421.4610900878906
2024-04-12,373.34869384765625,175.23878479003906,415.5222473144531
2024-04-15,384.26666259765625,175.33465576171875,407.3871765136719
2024-04-16,380.4132385253906,173.3309783935547,408.31292724609375
2024-04-17,387.1710205078125,172.6407470703125,405.6143493652344
2024-04-18,386.40423583984375,173.7624053955078,398.15875244140625
2024-04-19,387.2573547363281,178.1244354248047,393.086669921875
2024-04-22,400.0540771484375,181.58529663085938,394.8988037109375
2024-04-23,406.4284973144531,184.20254516601562,401.408935546875
2024-04-24,405.5082702636719,185.1036834716797,402.8763732910156
2024-04-25,402.6422119140625,185.38168334960938,393.0078430175781
2024-04-26,409.8505554199219,185.4967498779297,400.17779541015625
2024-04-29,412.956298828125,185.2954559326172,396.1693420410156
